ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Método_Pago,Estado,Nombre_producto,Categoría,Precio_Unitario,Importe_Ventas,Venta_Completa,Clientes,Full_Name,Registro
919,31/1/2024,10,25,5,1,Completa,Pizza congelada,Congelados,"15,45","77,25","77,25",Buenos Aires,Stephenie Sexty,23/11/2023
947,31/1/2024,106,5,1,4,Completa,Manteca,Lácteos,"5,65","5,65","5,65",NEA,Benedikta Condon,23/6/2023
1317,31/1/2024,235,25,3,3,Completa,Pizza congelada,Congelados,"15,45","46,35","46,35",NEA,Cloe Brun,11/12/2023
1607,31/1/2024,114,15,5,1,Completa,Medialunas,Panadería,"3,51","17,55","17,55",Centro,Fabien Roskam,11/4/2023
2038,31/1/2024,132,2,5,4,Completa,Yogur,Lácteos,"5,21","26,05","26,05",Buenos Aires,Cassie Corish,14/12/2023
2436,31/1/2024,282,3,3,1,Completa,Queso cremoso,Lácteos,"17,23","51,69","51,69",Centro,Lowrance Coward,10/6/2023
2578,31/1/2024,201,31,6,3,Completa,Galletitas de agua,Galletitas y Snacks,"5,24","31,44","31,44",Patagonia,Ros Chrstine,4/12/2023
448,1/2/2024,5,19,3,4,Pendiente,Tomates,Frutas y Verduras,"6,54","19,62",0,Centro,Conney Cassella,31/3/2023
492,1/2/2024,114,29,6,4,Completa,Cerveza,Bebidas,"11,54","69,24","69,24",Centro,Fabien Roskam,11/4/2023
1099,1/2/2024,282,28,1,4,Completa,Jugos de frutas,Bebidas,"9,45","9,45","9,45",Centro,Lowrance Coward,10/6/2023
1439,1/2/2024,130,18,2,2,Completa,Bananas,Frutas y Verduras,"7,25","14,5","14,5",Buenos Aires,Lori Oram,8/9/2023
1565,1/2/2024,97,6,6,2,Completa,Asado,Carnicería,"28,56","171,36","171,36",Buenos Aires,Judah Dan,4/4/2023
1776,1/2/2024,247,7,4,4,Completa,Chorizo,Carnicería,"11,25",45,45,Buenos Aires,Silvio Butterfield,19/7/2023
2190,1/2/2024,98,16,1,1,Pendiente,Tortas,Panadería,"15,23","15,23",0,Centro,Lin Godard,20/11/2023
2755,1/2/2024,27,18,4,4,Completa,Bananas,Frutas y Verduras,"7,25",29,29,Buenos Aires,Bealle Andreuzzi,29/11/2023
43,2/2/2024,294,31,1,4,Completa,Galletitas de agua,Galletitas y Snacks,"5,24","5,24","5,24",Centro,Alon Gorch,27/12/2023
272,2/2/2024,60,3,6,4,Completa,Queso cremoso,Lácteos,"17,23","103,38","103,38",NEA,Lisabeth Murty,17/4/2023
349,2/2/2024,203,2,3,4,Completa,Yogur,Lácteos,"5,21","15,63","15,63",Buenos Aires,Rafaellle Jayes,2/10/2023
351,2/2/2024,45,8,4,3,Completa,Milanesa,Carnicería,"16,21","64,84","64,84",Buenos Aires,Doll Rye,16/8/2023
822,2/2/2024,1,32,4,5,Completa,Galletitas de chocolate,Galletitas y Snacks,"6,25",25,25,Patagonia,Karisa Cromett,19/11/2023
1078,2/2/2024,218,6,5,5,Completa,Asado,Carnicería,"28,56","142,8","142,8",Centro,Ingeborg Downey,23/10/2023
1595,2/2/2024,129,31,6,1,Completa,Galletitas de agua,Galletitas y Snacks,"5,24","31,44","31,44",Patagonia,Colby Kalderon,19/3/2023
2746,2/2/2024,217,4,1,4,Completa,Queso rallado,Lácteos,"19,23","19,23","19,23",Centro,Derrick Giraldo,8/9/2023
262,3/2/2024,156,33,3,4,Pendiente,Papas chips,Galletitas y Snacks,"8,54","25,62",0,Patagonia,Giulia Rudinger,26/10/2023
997,3/2/2024,245,12,3,5,Completa,Pan francés,Panadería,"8,12","24,36","24,36",NEA,Ortensia Ruppeli,4/7/2023
1221,3/2/2024,251,10,5,5,Pendiente,Costilla de cerdo,Carnicería,"14,25","71,25",0,Centro,Cristian Micka,28/4/2023
1931,3/2/2024,204,6,4,5,Completa,Asado,Carnicería,"28,56","114,24","114,24",Patagonia,Di Kasper,6/6/2023
1967,3/2/2024,32,7,5,4,Completa,Chorizo,Carnicería,"11,25","56,25","56,25",Cuyo,Cristen Ottee,27/7/2023
2328,3/2/2024,275,23,1,2,Completa,Papas fritas,Congelados,"8,23","8,23","8,23",Buenos Aires,Perrine Enstone,14/4/2023
420,4/2/2024,259,32,1,2,Pendiente,Galletitas de chocolate,Galletitas y Snacks,"6,25","6,25",0,Cuyo,Nobe Van Hault,15/10/2023
546,4/2/2024,66,19,3,4,Completa,Tomates,Frutas y Verduras,"6,54","19,62","19,62",Buenos Aires,Regan Crocetti,24/3/2023
680,4/2/2024,112,37,2,5,Completa,Garbanzos,Conservas,"3,65","7,3","7,3",NEA,Ellie Lockey,19/12/2023
2263,4/2/2024,48,27,1,5,Completa,Agua mineral,Bebidas,"6,21","6,21","6,21",Patagonia,Corbie Von Der Empten,18/10/2023
2752,4/2/2024,125,35,3,4,Completa,Arroz,Conservas,"4,25","12,75","12,75",Patagonia,Minette Alchin,19/11/2023
